Date : 2026-04-17 11:48:56
Directory : d:\workshops\eShop
Total : 3265 files,  566445 codes, 4850 comments, 198844 blanks, all 770139 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-p\step-03-select-style.md                                                    | Markdown      |         66 |          0 |         39 |        105 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-p\step-04-generate.md                                                        | Markdown      |         69 |          0 |         41 |        110 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-p\step-05-review.md                                                          | Markdown      |         73 |          0 |         45 |        118 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-u\step-01-load-context.md                                                    | Markdown      |         72 |          0 |         39 |        111 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-u\step-02-inventory.md                                                       | Markdown      |         67 |          0 |         39 |        106 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-u\step-03-select-style.md                                                    | Markdown      |         65 |          0 |         39 |        104 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-u\step-04-generate.md                                                        | Markdown      |         69 |          0 |         41 |        110 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-u\step-05-review.md                                                          | Markdown      |         75 |          0 |         45 |        120 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-v\step-01-load-context.md                                                    | Markdown      |         73 |          0 |         39 |        112 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-v\step-02-inventory.md                                                       | Markdown      |         66 |          0 |         39 |        105 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-v\step-03-select-style.md                                                    | Markdown      |         69 |          0 |         41 |        110 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-v\step-04-generate.md                                                        | Markdown      |         72 |          0 |         41 |        113 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-v\step-05-review.md                                                          | Markdown      |         75 |          0 |         47 |        122 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-w\step-01-load-context.md                                                    | Markdown      |         75 |          0 |         39 |        114 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-w\step-02-inventory.md                                                       | Markdown      |         62 |          0 |         37 |         99 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-w\step-03-select-style.md                                                    | Markdown      |         67 |          0 |         39 |        106 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-w\step-04-generate.md                                                        | Markdown      |         69 |          0 |         41 |        110 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\steps-w\step-05-review.md                                                          | Markdown      |         70 |          0 |         43 |        113 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\templates\content-output.template.md                                               | Markdown      |        255 |          0 |         95 |        350 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\templates\stitch-prompt.template.md                                                | Markdown      |        129 |          0 |         46 |        175 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-content.md                                                                | Markdown      |         34 |          0 |         16 |         50 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-figma.md                                                                  | Markdown      |         51 |          0 |         23 |         74 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-icons.md                                                                  | Markdown      |         25 |          0 |         14 |         39 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-images.md                                                                 | Markdown      |         26 |          0 |         14 |         40 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-page-designs.md                                                           | Markdown      |         25 |          0 |         14 |         39 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-stitch.md                                                                 | Markdown      |         91 |          0 |         55 |        146 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-ui-elements.md                                                            | Markdown      |         25 |          0 |         14 |         39 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-videos.md                                                                 | Markdown      |         25 |          0 |         14 |         39 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow-wireframes.md                                                             | Markdown      |         25 |          0 |         14 |         39 |
| d:\workshops\eShop\.github\skills\wds-6-asset-generation\workflow.md                                                                        | Markdown      |        109 |          0 |         47 |        156 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\SKILL.md                                                                              | Skill         |          5 |          0 |          2 |          7 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\bmad-skill-manifest.yaml                                                              | YAML          |          1 |          0 |          1 |          2 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\data\design-system-guide.md                                                           | Markdown      |        235 |          0 |        119 |        354 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-01-scan-existing.md                                                      | Markdown      |         87 |          0 |         44 |        131 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-02-compare-attributes.md                                                 | Markdown      |        260 |          0 |        110 |        370 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-03-calculate-similarity.md                                               | Markdown      |        286 |          0 |        154 |        440 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-04-identify-opportunities.md                                             | Markdown      |        294 |          0 |        128 |        422 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-05-identify-risks.md                                                     | Markdown      |        312 |          0 |        128 |        440 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-06-present-decision.md                                                   | Markdown      |        338 |          0 |        180 |        518 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-07-execute-decision.md                                                   | Markdown      |        420 |          0 |        190 |        610 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-08a-initialize-design-system.md                                          | Markdown      |        371 |          0 |        181 |        552 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-08b-create-new-component.md                                              | Markdown      |        532 |          0 |        264 |        796 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-08c-update-component.md                                                  | Markdown      |        439 |          0 |        227 |        666 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-08d-add-variant.md                                                       | Markdown      |        386 |          0 |        189 |        575 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\steps-c\step-08e-generate-catalog.md                                                  | Markdown      |        540 |          7 |        209 |        756 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\templates\catalog.template.html                                                       | HTML          |        303 |         11 |         50 |        364 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\templates\component-library-config.template.md                                        | Markdown      |         45 |          0 |         21 |         66 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\templates\component.template.md                                                       | Markdown      |         75 |          0 |         60 |        135 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\templates\design-tokens.template.md                                                   | Markdown      |        126 |          0 |         43 |        169 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\workflow-browse.md                                                                    | Markdown      |         58 |          0 |         30 |         88 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\workflow-create.md                                                                    | Markdown      |         46 |          0 |         26 |         72 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\workflow-edit.md                                                                      | Markdown      |         53 |          0 |         29 |         82 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\workflow-import.md                                                                    | Markdown      |         51 |          0 |         29 |         80 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\workflow-view.md                                                                      | Markdown      |         45 |          0 |         24 |         69 |
| d:\workshops\eShop\.github\skills\wds-7-design-system\workflow.md                                                                           | Markdown      |         77 |          0 |         40 |        117 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\SKILL.md                                                                          | Skill         |          5 |          0 |          2 |          7 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\bmad-skill-manifest.yaml                                                          | YAML          |          1 |          0 |          1 |          2 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\context-templates.md                                                         | Markdown      |        272 |          0 |        138 |        410 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\delivery-templates.md                                                        | Markdown      |        277 |          0 |         81 |        358 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\design-templates.md                                                          | Markdown      |        210 |          0 |        103 |        313 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\existing-product-guide.md                                                    | Markdown      |        644 |          0 |        286 |        930 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\kaizen-iteration-guide.md                                                    | Markdown      |        103 |          0 |         65 |        168 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\kaizen-principles.md                                                         | Markdown      |        195 |          0 |         82 |        277 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\monitoring-guide.md                                                          | Markdown      |         98 |          0 |         59 |        157 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\data\monitoring-templates.md                                                      | Markdown      |        270 |          0 |        119 |        389 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\steps-a\step-01-identify.md                                                       | Markdown      |         97 |          0 |         52 |        149 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\steps-a\step-02-gather-context.md                                                 | Markdown      |        147 |          0 |         67 |        214 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\steps-d\step-01-design-update.md                                                  | Markdown      |        167 |          0 |         74 |        241 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\steps-p\step-01-create-delivery.md                                                | Markdown      |        224 |          0 |         85 |        309 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\steps-p\step-02-hand-off.md                                                       | Markdown      |        172 |          0 |         73 |        245 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\steps-t\step-01-validate.md                                                       | Markdown      |        229 |          0 |        109 |        338 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\workflow-analyze.md                                                               | Markdown      |         46 |          0 |         26 |         72 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\workflow-deploy.md                                                                | Markdown      |         62 |          0 |         32 |         94 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\workflow-design.md                                                                | Markdown      |         57 |          0 |         33 |         90 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\workflow-implement.md                                                             | Markdown      |         52 |          0 |         29 |         81 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\workflow-scope.md                                                                 | Markdown      |         58 |          0 |         33 |         91 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\workflow-test.md                                                                  | Markdown      |         58 |          0 |         31 |         89 |
| d:\workshops\eShop\.github\skills\wds-8-product-evolution\workflow.md                                                                       | Markdown      |         68 |          0 |         31 |         99 |
| d:\workshops\eShop\.github\skills\wds-agent-freya-ux\SKILL.md                                                                               | Skill         |         46 |          0 |         20 |         66 |
| d:\workshops\eShop\.github\skills\wds-agent-freya-ux\bmad-skill-manifest.yaml                                                               | YAML          |         12 |          0 |          1 |         13 |
| d:\workshops\eShop\.github\skills\wds-agent-saga-analyst\SKILL.md                                                                           | Skill         |         49 |          0 |         20 |         69 |
| d:\workshops\eShop\.github\skills\wds-agent-saga-analyst\bmad-skill-manifest.yaml                                                           | YAML          |         12 |          0 |          1 |         13 |
| d:\workshops\eShop\.github\workflows\agentic-pr-fix.md                                                                                      | Markdown      |         85 |          0 |         18 |        103 |
| d:\workshops\eShop\.github\workflows\agentic-pr-fix.yml                                                                                     | YAML          |        222 |          0 |         25 |        247 |
| d:\workshops\eShop\.github\workflows\copilot-setup-steps.md                                                                                 | Markdown      |         40 |          0 |          7 |         47 |
| d:\workshops\eShop\.github\workflows\copilot-setup-steps.yml                                                                                | YAML          |         24 |          0 |          5 |         29 |
| d:\workshops\eShop\.github\workflows\playwright.yml                                                                                         | YAML          |          4 |         -1 |          0 |          3 |
| d:\workshops\eShop\.github\workflows\pr-validation.yml                                                                                      | YAML          |          5 |          0 |          1 |          6 |
| d:\workshops\eShop\.github\workflows\push-build-test-all.yml                                                                                | YAML          |         64 |          0 |         15 |         79 |
| d:\workshops\eShop\IMPROVEMENTS.md                                                                                                          | Markdown      |         29 |          0 |          4 |         33 |
| d:\workshops\eShop\_bmad-output\implementation-artifacts\4-1-order-status-timeline-read-model.md                                            | Markdown      |         51 |          0 |         23 |         74 |
| d:\workshops\eShop\_bmad-output\implementation-artifacts\7-1-startup-validation-enforcement.md                                              | Markdown      |         51 |          0 |         23 |         74 |
| d:\workshops\eShop\_bmad-output\implementation-artifacts\7-2-catalog-functional-tests-stabilization.md                                      | Markdown      |         43 |          0 |         23 |         66 |
| d:\workshops\eShop\_bmad-output\implementation-artifacts\sprint-status.yaml                                                                 | YAML          |          8 |          7 |          2 |         17 |
| d:\workshops\eShop\_bmad-output\planning-artifacts\architecture.md                                                                          | Markdown      |        516 |          0 |        149 |        665 |
| d:\workshops\eShop\_bmad-output\planning-artifacts\epics.md                                                                                 | Markdown      |        182 |          0 |         26 |        208 |
| d:\workshops\eShop\_bmad-output\planning-artifacts\implementation-readiness-report-2026-04-02.md                                            | Markdown      |        202 |          0 |         57 |        259 |
| d:\workshops\eShop\_bmad-output\planning-artifacts\prd.md                                                                                   | Markdown      |        294 |          0 |        134 |        428 |
| d:\workshops\eShop\_bmad-output\planning-artifacts\ux-color-themes.html                                                                     | HTML          |        144 |          0 |         14 |        158 |
| d:\workshops\eShop\_bmad-output\planning-artifacts\ux-design-directions.html                                                                | HTML          |        411 |          0 |         63 |        474 |
| d:\workshops\eShop\_bmad-output\planning-artifacts\ux-design-specification.md                                                               | Markdown      |        605 |          1 |        322 |        928 |
| d:\workshops\eShop\_bmad-output\project-context.md                                                                                          | Markdown      |         91 |          0 |         30 |        121 |
| d:\workshops\eShop\_bmad\_config\agent-manifest.csv                                                                                         | CSV           |         19 |          0 |          1 |         20 |
| d:\workshops\eShop\_bmad\_config\bmad-help.csv                                                                                              | CSV           |        111 |          0 |          0 |        111 |
| d:\workshops\eShop\_bmad\_config\files-manifest.csv                                                                                         | CSV           |      1,621 |          0 |          1 |      1,622 |
| d:\workshops\eShop\_bmad\_config\ides\github-copilot.yaml                                                                                   | YAML          |          5 |          0 |          1 |          6 |
| d:\workshops\eShop\_bmad\_config\manifest.yaml                                                                                              | YAML          |         49 |          0 |          1 |         50 |
| d:\workshops\eShop\_bmad\_config\skill-manifest.csv                                                                                         | CSV           |         80 |          0 |          1 |         81 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\SKILL.md                                                                                    | Skill         |         39 |          0 |         24 |         63 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\assets\SKILL-template.md                                                                    | Markdown      |         44 |          0 |         19 |         63 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\assets\autonomous-wake.md                                                                   | Markdown      |         20 |          0 |         13 |         33 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\assets\init-template.md                                                                     | Markdown      |         29 |          0 |         23 |         52 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\assets\memory-system.md                                                                     | Markdown      |         74 |          0 |         49 |        123 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\assets\save-memory.md                                                                       | Markdown      |         11 |          0 |          7 |         18 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\build-process.md                                                                            | Markdown      |        101 |          0 |         55 |        156 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\quality-analysis.md                                                                         | Markdown      |         88 |          0 |         43 |        131 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\quality-scan-agent-cohesion.md                                                              | Markdown      |         93 |          0 |         45 |        138 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\quality-scan-enhancement-opportunities.md                                                   | Markdown      |        124 |          0 |         56 |        180 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\quality-scan-execution-efficiency.md                                                        | Markdown      |         97 |          0 |         48 |        145 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\quality-scan-prompt-craft.md                                                                | Markdown      |        151 |          0 |         65 |        216 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\quality-scan-script-opportunities.md                                                        | Markdown      |        138 |          0 |         83 |        221 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\quality-scan-structure.md                                                                   | Markdown      |        109 |          0 |         47 |        156 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\references\quality-dimensions.md                                                            | Markdown      |         32 |          0 |         23 |         55 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\references\script-opportunities-reference.md                                                | Markdown      |        227 |          0 |        128 |        355 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\references\script-standards.md                                                              | Markdown      |         64 |          0 |         29 |         93 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\references\skill-best-practices.md                                                          | Markdown      |         71 |          0 |         39 |        110 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\references\standard-fields.md                                                               | Markdown      |         58 |          0 |         34 |         92 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\references\template-substitution-rules.md                                                   | Markdown      |         30 |          0 |         18 |         48 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\report-quality-scan-creator.md                                                              | Markdown      |        219 |          0 |         68 |        287 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\scripts\generate-html-report.py                                                             | Python        |        486 |         19 |         30 |        535 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\scripts\prepass-execution-deps.py                                                           | Python        |        249 |         43 |         46 |        338 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\scripts\prepass-prompt-metrics.py                                                           | Python        |        298 |         46 |         60 |        404 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\scripts\prepass-structure-capabilities.py                                                   | Python        |        325 |         49 |         72 |        446 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\scripts\scan-path-standards.py                                                              | Python        |        251 |         43 |         45 |        339 |
| d:\workshops\eShop\_bmad\bmb\bmad-agent-builder\scripts\scan-scripts.py                                                                     | Python        |        589 |         65 |         92 |        746 |
| d:\workshops\eShop\_bmad\bmb\bmad-bmb-setup\SKILL.md                                                                                        | Skill         |         46 |          0 |         31 |         77 |
| d:\workshops\eShop\_bmad\bmb\bmad-bmb-setup\assets\module-help.csv                                                                          | CSV           |         10 |          0 |          1 |         11 |
| d:\workshops\eShop\_bmad\bmb\bmad-bmb-setup\assets\module.yaml                                                                              | YAML          |         17 |          0 |          4 |         21 |
| d:\workshops\eShop\_bmad\bmb\bmad-bmb-setup\scripts\cleanup-legacy.py                                                                       | Python        |        176 |         49 |         35 |        260 |
| d:\workshops\eShop\_bmad\bmb\bmad-bmb-setup\scripts\merge-config.py                                                                         | Python        |        265 |         83 |         61 |        409 |
| d:\workshops\eShop\_bmad\bmb\bmad-bmb-setup\scripts\merge-help-csv.py                                                                       | Python        |        144 |         38 |         37 |        219 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\SKILL.md                                                                                   | Skill         |         22 |          0 |         11 |         33 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\module-plan-template.md                                                             | Markdown      |         50 |         32 |         47 |        129 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\setup-skill-template\SKILL.md                                                       | Skill         |         46 |          0 |         31 |         77 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\setup-skill-template\assets\module-help.csv                                         | CSV           |          1 |          0 |          1 |          2 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\setup-skill-template\assets\module.yaml                                             | YAML          |          6 |          0 |          1 |          7 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\setup-skill-template\scripts\cleanup-legacy.py                                      | Python        |        176 |         49 |         35 |        260 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\setup-skill-template\scripts\merge-config.py                                        | Python        |        265 |         83 |         61 |        409 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\setup-skill-template\scripts\merge-help-csv.py                                      | Python        |        144 |         38 |         37 |        219 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\standalone-module-template\merge-config.py                                          | Python        |        265 |         83 |         61 |        409 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\standalone-module-template\merge-help-csv.py                                        | Python        |        144 |         38 |         37 |        219 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\assets\standalone-module-template\module-setup.md                                          | Markdown      |         48 |          0 |         34 |         82 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\references\create-module.md                                                                | Markdown      |        170 |          0 |         77 |        247 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\references\ideate-module.md                                                                | Markdown      |        140 |          0 |         77 |        217 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\references\validate-module.md                                                              | Markdown      |         47 |          0 |         31 |         78 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\scripts\scaffold-setup-skill.py                                                            | Python        |         92 |         16 |         17 |        125 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\scripts\scaffold-standalone-module.py                                                      | Python        |        150 |         18 |         23 |        191 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\scripts\tests\test-scaffold-setup-skill.py                                                 | Python        |        171 |         17 |         36 |        224 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\scripts\tests\test-scaffold-standalone-module.py                                           | Python        |        192 |         27 |         48 |        267 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\scripts\tests\test-validate-module.py                                                      | Python        |        227 |         26 |         62 |        315 |
| d:\workshops\eShop\_bmad\bmb\bmad-module-builder\scripts\validate-module.py                                                                 | Python        |        202 |         43 |         49 |        294 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\SKILL.md                                                                                 | Skill         |         44 |          0 |         28 |         72 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\assets\SKILL-template.md                                                                 | Markdown      |         15 |          0 |          7 |         22 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\build-process.md                                                                         | Markdown      |        107 |          0 |         60 |        167 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\quality-analysis.md                                                                      | Markdown      |         99 |          0 |         52 |        151 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\quality-scan-enhancement-opportunities.md                                                | Markdown      |        127 |          0 |         59 |        186 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\quality-scan-execution-efficiency.md                                                     | Markdown      |        174 |          0 |         62 |        236 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\quality-scan-prompt-craft.md                                                             | Markdown      |        188 |          0 |         86 |        274 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\quality-scan-script-opportunities.md                                                     | Markdown      |        130 |          0 |         83 |        213 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\quality-scan-skill-cohesion.md                                                           | Markdown      |        107 |          0 |         48 |        155 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\quality-scan-workflow-integrity.md                                                       | Markdown      |        150 |          0 |         61 |        211 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\classification-reference.md                                                   | Markdown      |         46 |          0 |         18 |         64 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\complex-workflow-patterns.md                                                  | Markdown      |         81 |          0 |         43 |        124 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\convert-process.md                                                            | Markdown      |         77 |          0 |         30 |        107 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\quality-dimensions.md                                                         | Markdown      |         31 |          0 |         23 |         54 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\script-opportunities-reference.md                                             | Markdown      |         76 |          0 |         25 |        101 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\script-standards.md                                                           | Markdown      |         64 |          0 |         29 |         93 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\skill-best-practices.md                                                       | Markdown      |         71 |          0 |         39 |        110 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\standard-fields.md                                                            | Markdown      |         92 |          0 |         53 |        145 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\references\template-substitution-rules.md                                                | Markdown      |         22 |          0 |         14 |         36 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\report-quality-scan-creator.md                                                           | Markdown      |        191 |          0 |         68 |        259 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\generate-convert-report.py                                                       | Python        |        358 |         18 |         31 |        407 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\generate-html-report.py                                                          | Python        |        485 |         22 |         33 |        540 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\prepass-execution-deps.py                                                        | Python        |        206 |         39 |         44 |        289 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\prepass-prompt-metrics.py                                                        | Python        |        210 |         36 |         40 |        286 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\prepass-workflow-integrity.py                                                    | Python        |        354 |         54 |         73 |        481 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\scan-path-standards.py                                                           | Python        |        217 |         40 |         43 |        300 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\scan-scripts.py                                                                  | Python        |        589 |         65 |         92 |        746 |
| d:\workshops\eShop\_bmad\bmb\bmad-workflow-builder\scripts\tests\test_generate_convert_report.py                                            | Python        |        183 |         24 |         37 |        244 |
| d:\workshops\eShop\_bmad\bmb\config.yaml                                                                                                    | YAML          |          6 |          5 |          3 |         14 |
| d:\workshops\eShop\_bmad\bmb\module-help.csv                                                                                                | CSV           |         10 |          0 |          1 |         11 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-analyst\SKILL.md                                                                         | Skill         |         37 |          0 |         20 |         57 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-analyst\bmad-skill-manifest.yaml                                                         | YAML          |         11 |          0 |          1 |         12 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-tech-writer\SKILL.md                                                                     | Skill         |         36 |          0 |         20 |         56 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-tech-writer\bmad-skill-manifest.yaml                                                     | YAML          |         11 |          0 |          1 |         12 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-tech-writer\explain-concept.md                                                           | Markdown      |         14 |          0 |          7 |         21 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-tech-writer\mermaid-gen.md                                                               | Markdown      |         14 |          0 |          7 |         21 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-tech-writer\validate-doc.md                                                              | Markdown      |         13 |          0 |          7 |         20 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-agent-tech-writer\write-document.md                                                            | Markdown      |         14 |          0 |          7 |         21 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-document-project\SKILL.md                                                                      | Skill         |          5 |          0 |          2 |          7 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-document-project\checklist.md                                                                  | Markdown      |        196 |          0 |         50 |        246 |
| d:\workshops\eShop\_bmad\bmm\1-analysis\bmad-document-project\documentation-requirements.csv                                                | CSV           |         12 |          0 |          1 |         13 |
