Date : 2026-04-17 11:48:56
Directory : d:\workshops\eShop
Total : 3265 files,  566445 codes, 4850 comments, 198844 blanks, all 770139 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| .github\skills\wds-8-product-evolution\steps-p                                                                                              |          2 |        396 |          0 |        158 |        554 |
| .github\skills\wds-8-product-evolution\steps-t                                                                                              |          1 |        229 |          0 |        109 |        338 |
| .github\skills\wds-agent-freya-ux                                                                                                           |          2 |         58 |          0 |         21 |         79 |
| .github\skills\wds-agent-saga-analyst                                                                                                       |          2 |         61 |          0 |         21 |         82 |
| .github\workflows                                                                                                                           |          7 |        444 |         -1 |         71 |        514 |
| _bmad                                                                                                                                       |      1,624 |    286,433 |      2,419 |    100,824 |    389,676 |
| _bmad-output                                                                                                                                |         12 |      2,598 |          8 |        866 |      3,472 |
| _bmad-output (Files)                                                                                                                        |          1 |         91 |          0 |         30 |        121 |
| _bmad-output\implementation-artifacts                                                                                                       |          4 |        153 |          7 |         71 |        231 |
| _bmad-output\planning-artifacts                                                                                                             |          7 |      2,354 |          1 |        765 |      3,120 |
| _bmad\_config                                                                                                                               |          6 |      1,885 |          0 |          5 |      1,890 |
| _bmad\_config (Files)                                                                                                                       |          5 |      1,880 |          0 |          4 |      1,884 |
| _bmad\_config\ides                                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| _bmad\bmb                                                                                                                                   |         83 |     11,743 |      1,208 |      3,491 |     16,442 |
| _bmad\bmb (Files)                                                                                                                           |          2 |         16 |          5 |          4 |         25 |
| _bmad\bmb\bmad-agent-builder                                                                                                                |         27 |      4,017 |        265 |      1,261 |      5,543 |
| _bmad\bmb\bmad-agent-builder (Files)                                                                                                        |         10 |      1,159 |          0 |        534 |      1,693 |
| _bmad\bmb\bmad-agent-builder\assets                                                                                                         |          5 |        178 |          0 |        111 |        289 |
| _bmad\bmb\bmad-agent-builder\references                                                                                                     |          6 |        482 |          0 |        271 |        753 |
| _bmad\bmb\bmad-agent-builder\scripts                                                                                                        |          6 |      2,198 |        265 |        345 |      2,808 |
| _bmad\bmb\bmad-bmb-setup                                                                                                                    |          6 |        658 |        170 |        169 |        997 |
| _bmad\bmb\bmad-bmb-setup (Files)                                                                                                            |          1 |         46 |          0 |         31 |         77 |
| _bmad\bmb\bmad-bmb-setup\assets                                                                                                             |          2 |         27 |          0 |          5 |         32 |
| _bmad\bmb\bmad-bmb-setup\scripts                                                                                                            |          3 |        585 |        170 |        133 |        888 |
| _bmad\bmb\bmad-module-builder                                                                                                               |         20 |      2,558 |        470 |        776 |      3,804 |
| _bmad\bmb\bmad-module-builder (Files)                                                                                                       |          1 |         22 |          0 |         11 |         33 |
| _bmad\bmb\bmad-module-builder\assets                                                                                                        |         10 |      1,145 |        323 |        345 |      1,813 |
| _bmad\bmb\bmad-module-builder\assets (Files)                                                                                                |          1 |         50 |         32 |         47 |        129 |
