"filename", "language", "YAML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "JSON", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "XML", "ASP.NET Razor", "censitive", "Mermaid Radar", "comment", "blank", "total"
"d:\workshops\eShop\.github\skills\bmad-agent-tech-writer\SKILL.md", "Skill", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 56
"d:\workshops\eShop\.github\skills\bmad-agent-tech-writer\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-tech-writer\explain-concept.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\workshops\eShop\.github\skills\bmad-agent-tech-writer\mermaid-gen.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\workshops\eShop\.github\skills\bmad-agent-tech-writer\validate-doc.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\workshops\eShop\.github\skills\bmad-agent-tech-writer\write-document.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\workshops\eShop\.github\skills\bmad-agent-ux-designer\SKILL.md", "Skill", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 54
"d:\workshops\eShop\.github\skills\bmad-agent-ux-designer\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\SKILL.md", "Skill", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 77
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\assets\module-help.csv", "CSV", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\assets\module.yaml", "YAML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\scripts\cleanup-legacy.py", "Python", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 35, 260
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\scripts\merge-config.py", "Python", 0, 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 61, 409
"d:\workshops\eShop\.github\skills\bmad-bmb-setup\scripts\merge-help-csv.py", "Python", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 37, 219
"d:\workshops\eShop\.github\skills\bmad-brainstorming\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-brainstorming\brain-methods.csv", "CSV", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-01-session-setup.md", "Markdown", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 215
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-01b-continue.md", "Markdown", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 125
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02a-user-selected.md", "Markdown", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 230
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02b-ai-recommended.md", "Markdown", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 240
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02c-random-selection.md", "Markdown", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 212
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-02d-progressive-flow.md", "Markdown", 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 267
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-03-technique-execution.md", "Markdown", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 402
"d:\workshops\eShop\.github\skills\bmad-brainstorming\steps\step-04-idea-organization.md", "Markdown", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 306
"d:\workshops\eShop\.github\skills\bmad-brainstorming\template.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\workshops\eShop\.github\skills\bmad-brainstorming\workflow.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 54
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-01-document-discovery.md", "Markdown", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 180
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-02-prd-analysis.md", "Markdown", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 169
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-03-epic-coverage-validation.md", "Markdown", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 170
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-04-ux-alignment.md", "Markdown", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 130
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-05-epic-quality-review.md", "Markdown", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 242
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-06-final-assessment.md", "Markdown", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 127
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\templates\readiness-report-template.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\workflow.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 50
"d:\workshops\eShop\.github\skills\bmad-cis-agent-brainstorming-coach\SKILL.md", "Skill", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
"d:\workshops\eShop\.github\skills\bmad-cis-agent-brainstorming-coach\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-cis-agent-creative-problem-solver\SKILL.md", "Skill", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
"d:\workshops\eShop\.github\skills\bmad-cis-agent-creative-problem-solver\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-cis-agent-design-thinking-coach\SKILL.md", "Skill", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 53
"d:\workshops\eShop\.github\skills\bmad-cis-agent-design-thinking-coach\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-cis-agent-innovation-strategist\SKILL.md", "Skill", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
"d:\workshops\eShop\.github\skills\bmad-cis-agent-innovation-strategist\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-cis-agent-presentation-master\SKILL.md", "Skill", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 63
"d:\workshops\eShop\.github\skills\bmad-cis-agent-presentation-master\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
