"filename", "language", "JSON", "YAML", "censitive", "JSON with Comments", "XML", "PowerShell", "TypeScript", "Markdown", "Mermaid Radar", "C#", "PostCSS", "ASP.NET Razor", "XAML", "JavaScript", "HTML", "comment", "blank", "total"
"d:\workshops\eShop\playwright.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 43, 10, 96
"d:\workshops\eShop\src\Basket.API\Basket.API.csproj", "XML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\workshops\eShop\src\Basket.API\Extensions\Extensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 8, 29
"d:\workshops\eShop\src\Basket.API\Extensions\ServerCallContextIdentityExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\workshops\eShop\src\Basket.API\GlobalUsings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\src\Basket.API\Grpc\BasketService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 21, 112
"d:\workshops\eShop\src\Basket.API\IntegrationEvents\EventHandling\OrderStartedIntegrationEventHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\workshops\eShop\src\Basket.API\IntegrationEvents\Events\OrderStartedIntegrationEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 7
"d:\workshops\eShop\src\Basket.API\Model\BasketItem.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\workshops\eShop\src\Basket.API\Model\CustomerBasket.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\workshops\eShop\src\Basket.API\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 7, 15
"d:\workshops\eShop\src\Basket.API\Properties\launchSettings.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\workshops\eShop\src\Basket.API\Repositories\IBasketRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\workshops\eShop\src\Basket.API\Repositories\RedisBasketRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 15, 57
"d:\workshops\eShop\src\Basket.API\appsettings.Development.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\workshops\eShop\src\Basket.API\appsettings.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\workshops\eShop\src\Catalog.API\Apis\CatalogApi.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 13, 57, 423
"d:\workshops\eShop\src\Catalog.API\Catalog.API.csproj", "XML", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 54
"d:\workshops\eShop\src\Catalog.API\Catalog.API.json", "JSON", 1130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1130
"d:\workshops\eShop\src\Catalog.API\Catalog.API_v2.json", "JSON", 907, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 907
